Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,day_of_week,week_of_year,month,is_weekend,season
1,04-05-2012,1970-01-01 00:00:00.001684519,0,75.55,3.749,221.6718,7.143,Thursday,1,1,False,Winter
1,18-06-2010,1970-01-01 00:00:00.001503284,0,84.11,2.637,211.4537719,7.808,Thursday,1,1,False,Winter
1,02-09-2011,1970-01-01 00:00:00.001550229,0,87.83,3.533,215.7971409,7.962,Thursday,1,1,False,Winter
1,16-12-2011,1970-01-01 00:00:00.001881176,0,51.63,3.159,219.1794533,7.866,Thursday,1,1,False,Winter
1,04-03-2011,1970-01-01 00:00:00.001636263,0,59.58,3.288,213.8233327,7.742,Thursday,1,1,False,Winter
1,30-04-2010,1970-01-01 00:00:00.001425100,0,67.41,2.78,210.3895456,7.808,Thursday,1,1,False,Winter
1,10-08-2012,1970-01-01 00:00:00.001592409,0,85.05,3.494,221.9584329,6.908,Thursday,1,1,False,Winter
1,06-05-2011,1970-01-01 00:00:00.001629391,0,64.61,3.906,215.7960035,7.682,Thursday,1,1,False,Winter
1,13-05-2011,1970-01-01 00:00:00.001604775,0,75.64,3.899,215.9640526,7.682,Thursday,1,1,False,Winter
1,11-06-2010,1970-01-01 00:00:00.001542561,0,80.43,2.668,211.4560951,7.808,Thursday,1,1,False,Winter
1,28-01-2011,1970-01-01 00:00:00.001316899,0,43.83,3.01,212.1970577,7.742,Thursday,1,1,False,Winter
1,05-08-2011,1970-01-01 00:00:00.001624383,0,91.65,3.684,215.544618,7.962,Thursday,1,1,False,Winter
1,25-11-2011,1970-01-01 00:00:00.002033320,1,60.14,3.236,218.4676211,7.866,Thursday,1,1,False,Winter
1,17-08-2012,1970-01-01 00:00:00.001597868,0,84.85,3.571,222.0384109,6.908,Thursday,1,1,False,Winter
2,04-05-2012,1970-01-01 00:00:00.001923957,0,76.73,3.749,221.3095166,6.891,Thursday,1,1,False,Winter
2,18-06-2010,1970-01-01 00:00:00.002001636,0,85.81,2.637,211.1096543,8.2,Thursday,1,1,False,Winter
2,02-09-2011,1970-01-01 00:00:00.001809119,0,89.64,3.533,215.4508632,7.852,Thursday,1,1,False,Winter
2,16-12-2011,1970-01-01 00:00:00.002432736,0,50.13,3.159,218.8217928,7.441,Thursday,1,1,False,Winter
2,04-03-2011,1970-01-01 00:00:00.001981607,0,57.77,3.288,213.4775305,8.028,Thursday,1,1,False,Winter
2,30-04-2010,1970-01-01 00:00:00.001802450,0,66.98,2.78,210.0505833,8.2,Thursday,1,1,False,Winter
2,10-08-2012,1970-01-01 00:00:00.001866719,0,88.55,3.494,221.5954138,6.565,Thursday,1,1,False,Winter
2,06-05-2011,1970-01-01 00:00:00.001837743,0,61.48,3.906,215.4448709,7.931,Thursday,1,1,False,Winter
2,13-05-2011,1970-01-01 00:00:00.001838513,0,74.61,3.899,215.6124735,7.931,Thursday,1,1,False,Winter
2,11-06-2010,1970-01-01 00:00:00.002025538,0,83.4,2.668,211.1120018,8.2,Thursday,1,1,False,Winter
2,28-01-2011,1970-01-01 00:00:00.001695371,0,42.83,3.01,211.8552668,8.028,Thursday,1,1,False,Winter
2,05-08-2011,1970-01-01 00:00:00.001876704,0,93.34,3.684,215.1978515,7.852,Thursday,1,1,False,Winter
2,25-11-2011,1970-01-01 00:00:00.002614202,1,56.36,3.236,218.1130269,7.441,Thursday,1,1,False,Winter
2,17-08-2012,1970-01-01 00:00:00.001928016,0,84.79,3.571,221.6751459,6.565,Thursday,1,1,False,Winter
3,04-05-2012,1970-01-01 00:00:00.000439913,0,79.51,3.749,225.1797511,6.664,Thursday,1,1,False,Winter
3,18-06-2010,1970-01-01 00:00:00.000364076,0,83.52,2.637,214.7858259,7.343,Thursday,1,1,False,Winter
3,02-09-2011,1970-01-01 00:00:00.000375988,0,89.12,3.533,219.1501106,7.567,Thursday,1,1,False,Winter
3,16-12-2011,1970-01-01 00:00:00.000510747,0,57.95,3.159,222.6426418,7.197,Thursday,1,1,False,Winter
3,04-03-2011,1970-01-01 00:00:00.000437084,0,65.11,3.288,217.1716979,7.551,Thursday,1,1,False,Winter
3,30-04-2010,1970-01-01 00:00:00.000361248,0,70.24,2.78,213.6716815,7.343,Thursday,1,1,False,Winter
3,10-08-2012,1970-01-01 00:00:00.000391811,0,85.85,3.494,225.4735085,6.334,Thursday,1,1,False,Winter
3,06-05-2011,1970-01-01 00:00:00.000413042,0,69.45,3.906,219.1959827,7.574,Thursday,1,1,False,Winter
3,13-05-2011,1970-01-01 00:00:00.000386312,0,79.87,3.899,219.3683556,7.574,Thursday,1,1,False,Winter
3,11-06-2010,1970-01-01 00:00:00.000355017,0,82.1,2.668,214.787913,7.343,Thursday,1,1,False,Winter
3,28-01-2011,1970-01-01 00:00:00.000364866,0,48.71,3.01,215.5065821,7.551,Thursday,1,1,False,Winter
3,05-08-2011,1970-01-01 00:00:00.000409981,0,88.45,3.684,218.9023209,7.567,Thursday,1,1,False,Winter
3,25-11-2011,1970-01-01 00:00:00.000556925,1,68.0,3.236,221.9011185,7.197,Thursday,1,1,False,Winter
3,17-08-2012,1970-01-01 00:00:00.000394918,0,87.36,3.571,225.5558664,6.334,Thursday,1,1,False,Winter
4,04-05-2012,1970-01-01 00:00:00.002196968,0,80.14,3.747,131.136,4.308,Thursday,1,1,False,Winter
4,18-06-2010,1970-01-01 00:00:00.001929736,0,81.53,2.635,126.114,7.896,Thursday,1,1,False,Winter
4,02-09-2011,1970-01-01 00:00:00.002078420,0,77.99,3.533,129.3259355,5.644,Thursday,1,1,False,Winter
4,16-12-2011,1970-01-01 00:00:00.002771397,0,36.44,3.149,129.8980645,5.143,Thursday,1,1,False,Winter
4,04-03-2011,1970-01-01 00:00:00.002103455,0,46.56,3.305,128.26475,6.51,Thursday,1,1,False,Winter
4,30-04-2010,1970-01-01 00:00:00.001817273,0,53.04,2.787,126.3805667,7.896,Thursday,1,1,False,Winter
4,10-08-2012,1970-01-01 00:00:00.002193367,0,83.21,3.476,130.7561613,4.077,Thursday,1,1,False,Winter
4,06-05-2011,1970-01-01 00:00:00.002063682,0,63.41,3.866,129.0444333,5.946,Thursday,1,1,False,Winter
4,13-05-2011,1970-01-01 00:00:00.002002362,0,70.65,3.872,129.089,5.946,Thursday,1,1,False,Winter
4,11-06-2010,1970-01-01 00:00:00.001870619,0,78.45,2.668,126.1119032,7.896,Thursday,1,1,False,Winter
4,28-01-2011,1970-01-01 00:00:00.001814240,0,40.6,3.022,127.5800323,6.51,Thursday,1,1,False,Winter
4,05-08-2011,1970-01-01 00:00:00.002160057,0,86.09,3.662,129.1846452,5.644,Thursday,1,1,False,Winter
4,25-11-2011,1970-01-01 00:00:00.003004702,1,47.96,3.225,129.8364,5.143,Thursday,1,1,False,Winter
4,17-08-2012,1970-01-01 00:00:00.002283540,0,81.41,3.552,130.7909677,4.077,Thursday,1,1,False,Winter
5,04-05-2012,1970-01-01 00:00:00.000360932,0,77.1,3.749,222.2594722,5.801,Thursday,1,1,False,Winter
5,18-06-2010,1970-01-01 00:00:00.000313795,0,83.91,2.637,212.0119769,6.465,Thursday,1,1,False,Winter
5,02-09-2011,1970-01-01 00:00:00.000315645,0,90.38,3.533,216.3588498,6.529,Thursday,1,1,False,Winter
5,16-12-2011,1970-01-01 00:00:00.000379530,0,54.42,3.159,219.7596266,6.3,Thursday,1,1,False,Winter
5,04-03-2011,1970-01-01 00:00:00.000329033,0,60.35,3.288,214.3842702,6.634,Thursday,1,1,False,Winter
5,30-04-2010,1970-01-01 00:00:00.000298697,0,67.53,2.78,210.939388,6.465,Thursday,1,1,False,Winter
5,10-08-2012,1970-01-01 00:00:00.000306759,0,86.96,3.494,222.5472987,5.603,Thursday,1,1,False,Winter
5,06-05-2011,1970-01-01 00:00:00.000322904,0,66.27,3.906,216.3655877,6.489,Thursday,1,1,False,Winter
5,13-05-2011,1970-01-01 00:00:00.000290930,0,77.38,3.899,216.5343611,6.489,Thursday,1,1,False,Winter
5,11-06-2010,1970-01-01 00:00:00.000296641,0,80.7,2.668,212.0142605,6.465,Thursday,1,1,False,Winter
5,28-01-2011,1970-01-01 00:00:00.000279088,0,44.5,3.01,212.7514884,6.634,Thursday,1,1,False,Winter
5,05-08-2011,1970-01-01 00:00:00.000317738,0,91.07,3.684,216.1071198,6.529,Thursday,1,1,False,Winter
5,25-11-2011,1970-01-01 00:00:00.000507900,1,61.93,3.236,219.0428204,6.3,Thursday,1,1,False,Winter
5,17-08-2012,1970-01-01 00:00:00.000314014,0,87.52,3.571,222.6276753,5.603,Thursday,1,1,False,Winter
6,04-05-2012,1970-01-01 00:00:00.001543461,0,77.66,3.749,223.2800541,5.964,Thursday,1,1,False,Winter
6,18-06-2010,1970-01-01 00:00:00.001677248,0,83.89,2.637,212.9813843,7.092,Thursday,1,1,False,Winter
6,02-09-2011,1970-01-01 00:00:00.001481618,0,91.22,3.533,217.3343423,6.925,Thursday,1,1,False,Winter
6,16-12-2011,1970-01-01 00:00:00.002034695,0,53.27,3.159,220.7671856,6.551,Thursday,1,1,False,Winter
6,04-03-2011,1970-01-01 00:00:00.001502617,0,60.45,3.288,215.3584231,6.858,Thursday,1,1,False,Winter
6,30-04-2010,1970-01-01 00:00:00.001498080,0,68.91,2.78,211.8942725,7.092,Thursday,1,1,False,Winter
6,10-08-2012,1970-01-01 00:00:00.001588380,0,87.04,3.494,223.5699533,5.668,Thursday,1,1,False,Winter
6,06-05-2011,1970-01-01 00:00:00.001504651,0,65.42,3.906,217.3547569,6.855,Thursday,1,1,False,Winter
6,13-05-2011,1970-01-01 00:00:00.001453185,0,76.95,3.899,217.5247882,6.855,Thursday,1,1,False,Winter
6,11-06-2010,1970-01-01 00:00:00.001685652,0,81.81,2.668,212.9835992,7.092,Thursday,1,1,False,Winter
6,28-01-2011,1970-01-01 00:00:00.001287034,0,44.98,3.01,213.7143412,6.858,Thursday,1,1,False,Winter
6,05-08-2011,1970-01-01 00:00:00.001601584,0,91.46,3.684,217.0839894,6.925,Thursday,1,1,False,Winter
6,25-11-2011,1970-01-01 00:00:00.002249811,1,62.78,3.236,220.0417412,6.551,Thursday,1,1,False,Winter
6,17-08-2012,1970-01-01 00:00:00.001543049,0,87.53,3.571,223.6510224,5.668,Thursday,1,1,False,Winter
7,04-05-2012,1970-01-01 00:00:00.000465198,0,45.38,3.903,197.6063534,8.09,Thursday,1,1,False,Winter
7,18-06-2010,1970-01-01 00:00:00.000481144,0,52.7,2.674,189.4185259,8.963,Thursday,1,1,False,Winter
7,02-09-2011,1970-01-01 00:00:00.000592355,0,53.4,3.511,194.5092113,8.622,Thursday,1,1,False,Winter
7,16-12-2011,1970-01-01 00:00:00.000720242,0,15.2,3.266,195.9841685,8.513,Thursday,1,1,False,Winter
7,04-03-2011,1970-01-01 00:00:00.000551378,0,21.84,3.232,192.0116004,8.818,Thursday,1,1,False,Winter
7,30-04-2010,1970-01-01 00:00:00.000373655,0,38.99,2.766,189.575127,8.963,Thursday,1,1,False,Winter
7,10-08-2012,1970-01-01 00:00:00.000675926,0,63.41,3.509,198.0795651,7.872,Thursday,1,1,False,Winter
