date,store_id,region,store_format,category,price,on_promo,promo_discount,effective_price,units_sold,revenue,inventory_on_hand,stockout,day_of_week,week_of_year,month,is_weekend,is_holiday,holiday_name,season
2025-02-10,S001,South,Supercenter,Apparel,110.56,False,0.0,110.56,2,221.12,96,False,Monday,7,2,False,False,,Winter
2024-09-03,S001,South,Supercenter,Apparel,44.13,False,0.0,44.13,5,220.65,95,False,Tuesday,36,9,False,False,,Fall
2024-08-16,S001,South,Supercenter,Apparel,116.84,True,0.2,93.47,5,467.35,66,False,Friday,33,8,False,False,,Summer
2025-06-06,S001,South,Supercenter,Apparel,,False,0.0,103.32,4,413.28,92,False,Friday,23,6,False,False,,Summer
2024-09-27,S001,South,Supercenter,Apparel,87.33,False,0.0,87.33,4,349.32,86,False,Friday,39,9,False,False,,Fall
2025-01-31,S001,South,Supercenter,Apparel,60.93,False,0.0,60.93,6,365.58,67,False,Friday,5,1,False,False,,Winter
2024-10-16,S001,South,Supercenter,Apparel,78.74,False,0.0,78.74,2,157.48,61,False,Wednesday,42,10,False,False,,Fall
2024-11-28,S001,South,Supercenter,Apparel,10.21,True,0.1,9.19,4,36.76,126,False,Thursday,48,11,False,True,Thanksgiving,Fall
2024-12-31,S001,South,Supercenter,Apparel,84.32,False,0.0,84.32,11,927.52,86,False,Tuesday,1,12,False,True,New Year's Eve,Winter
2024-12-05,S001,South,Supercenter,Apparel,109.88,False,0.0,109.88,8,879.04,77,False,Thursday,49,12,False,False,,Winter
2025-07-05,S001,South,Supercenter,Apparel,18.31,False,0.0,18.31,5,91.55,105,False,Saturday,27,7,True,False,,Summer
2024-09-09,S001,South,Supercenter,Apparel,80.38,True,0.1,72.34,6,434.04,59,False,Monday,37,9,False,False,,Fall
2025-06-01,S001,South,Supercenter,Apparel,74.67,False,0.0,74.67,3,224.01,92,False,Sunday,22,6,True,False,,Summer
2024-09-25,S001,South,Supercenter,Apparel,110.65,True,0.1,99.58,4,398.32,76,False,Wednesday,39,9,False,False,,Fall
2024-12-16,S001,South,Supercenter,Apparel,22.46,False,0.0,22.46,4,89.84,79,False,Monday,51,12,False,False,,Winter
2025-05-28,S001,South,Supercenter,Apparel,91.05,False,0.0,91.05,5,455.25,94,False,Wednesday,22,5,False,False,,Spring
2024-08-01,S001,South,Supercenter,Apparel,15.11,False,0.0,15.11,3,45.33,66,False,Thursday,31,8,False,False,,Summer
2025-05-03,S001,South,Supercenter,Apparel,39.06,False,0.0,39.06,4,156.24,57,False,Saturday,18,5,True,False,,Spring
2025-06-26,S001,South,Supercenter,Apparel,41.08,False,0.0,41.08,2,82.16,77,False,Thursday,26,6,False,False,,Summer
2024-11-10,S001,South,Supercenter,Apparel,33.52,False,0.0,33.52,6,201.12,53,False,Sunday,45,11,True,False,,Fall
2024-08-10,S001,South,Supercenter,Apparel,98.97,False,0.0,98.97,6,593.82,77,False,Saturday,32,8,True,False,,Summer
2025-01-13,S001,South,Supercenter,Apparel,58.22,False,0.0,58.22,2,116.44,82,False,Monday,3,1,False,False,,Winter
2024-10-12,S001,South,Supercenter,Apparel,79.28,True,0.1,71.35,6,428.1,26,False,Saturday,41,10,True,False,,Fall
2025-04-11,S001,South,Supercenter,Apparel,87.65,False,0.0,87.65,7,613.55,53,False,Friday,15,4,False,False,,Spring
2025-04-06,S001,South,Supercenter,Apparel,106.32,False,0.0,106.32,3,318.96,80,False,Sunday,14,4,True,False,,Spring
2025-02-12,S001,South,Supercenter,Apparel,112.98,False,0.0,112.98,3,338.94,94,False,Wednesday,7,2,False,False,,Winter
2025-03-09,S001,South,Supercenter,Apparel,68.96,False,0.0,68.96,5,344.8,29,False,Sunday,10,3,True,False,,Spring
2025-05-20,S001,South,Supercenter,Apparel,79.31,False,0.0,79.31,2,158.62,72,False,Tuesday,21,5,False,False,,Spring
2025-07-16,S001,South,Supercenter,Apparel,42.02,False,0.0,42.02,4,168.08,62,False,Wednesday,29,7,False,False,,Summer
2025-07-28,S001,South,Supercenter,Apparel,66.84,False,0.0,66.84,4,267.36,65,False,Monday,31,7,False,False,,Summer
2024-08-26,S001,South,Supercenter,Apparel,111.29,True,0.05,105.73,5,528.65,64,False,Monday,35,8,False,False,,Summer
2024-11-17,S001,South,Supercenter,Apparel,70.08,False,0.0,70.08,-5,350.4,80,False,Sunday,46,11,True,False,,Fall
2024-09-12,S001,South,Supercenter,Apparel,61.98,False,0.0,61.98,2,123.96,70,False,Thursday,37,9,False,False,,Fall
2025-07-19,S001,South,Supercenter,Apparel,15.94,False,0.0,15.94,1,15.94,90,False,Saturday,29,7,True,False,,Summer
2025-02-13,S001,South,Supercenter,Apparel,29.12,False,0.0,29.12,1,29.12,86,False,Thursday,7,2,False,False,,Winter
2024-11-23,S001,South,Supercenter,Apparel,40.4,False,0.0,40.4,8,323.2,43,False,Saturday,47,11,True,False,,Fall
2025-02-10,S001,South,Supercenter,Electronics,467.5,True,0.05,444.12,1,444.12,118,False,Monday,7,2,False,False,,Winter
2024-09-03,S001,South,Supercenter,Electronics,507.81,False,0.0,507.81,3,1523.43,59,False,Tuesday,36,9,False,False,,Fall
2024-08-16,S001,South,Supercenter,Electronics,469.06,False,0.0,469.06,1,469.06,113,False,Friday,33,8,False,False,,Summer
2025-06-06,S001,South,Supercenter,Electronics,622.95,False,0.0,622.95,0,0.0,78,False,Friday,23,6,False,False,,Summer
2024-09-27,S001,South,Supercenter,Electronics,518.64,False,0.0,518.64,2,1037.28,68,False,Friday,39,9,False,False,,Fall
2025-01-31,S001,South,Supercenter,Electronics,378.01,False,0.0,378.01,3,1134.03,107,False,Friday,5,1,False,False,,Winter
2024-10-16,S001,South,Supercenter,Electronics,735.21,True,0.05,698.45,1,698.45,61,False,Wednesday,42,10,False,False,,Fall
2024-11-28,S001,South,Supercenter,Electronics,426.36,False,0.0,426.36,2,852.72,74,False,Thursday,48,11,False,True,Thanksgiving,Fall
2024-12-31,S001,South,Supercenter,Electronics,486.73,True,0.1,438.06,3,1314.18,80,False,Tuesday,1,12,False,True,New Year's Eve,Winter
2024-12-05,S001,South,Supercenter,Electronics,588.24,False,0.0,588.24,3,1764.72,80,False,Thursday,49,12,False,False,,Winter
2025-07-05,S001,South,Supercenter,Electronics,735.17,False,0.0,735.17,4,2940.68,68,False,Saturday,27,7,True,False,,Summer
2024-09-09,S001,South,Supercenter,Electronics,390.03,False,0.0,390.03,2,780.06,88,False,Monday,37,9,False,False,,Fall
2025-06-01,S001,South,Supercenter,Electronics,596.3,False,0.0,596.3,1,596.3,94,False,Sunday,22,6,True,False,,Summer
2024-09-25,S001,South,Supercenter,Electronics,385.24,False,0.0,385.24,1,385.24,95,False,Wednesday,39,9,False,False,,Fall
2024-12-16,S001,South,Supercenter,Electronics,499.88,False,0.0,499.88,6,2999.28,78,False,Monday,51,12,False,False,,Winter
2025-05-28,S001,South,Supercenter,Electronics,788.76,True,0.15,670.45,1,670.45,90,False,Wednesday,22,5,False,False,,Spring
2024-08-01,S001,South,Supercenter,Electronics,128.81,False,0.0,128.81,2,257.62,35,False,Thursday,31,8,False,False,,Summer
2025-05-03,S001,South,Supercenter,Electronics,742.77,False,0.0,742.77,1,742.77,34,False,Saturday,18,5,True,False,,Spring
2025-06-26,S001,South,Supercenter,Electronics,493.34,False,0.0,493.34,2,986.68,60,False,Thursday,26,6,False,False,,Summer
2024-11-10,S001,South,Supercenter,Electronics,187.94,False,0.0,187.94,5,939.7,80,False,Sunday,45,11,True,False,,Fall
2024-08-10,S001,South,Supercenter,Electronics,630.68,False,0.0,630.68,3,1892.04,75,False,Saturday,32,8,True,False,,Summer
2025-01-13,S001,South,Supercenter,Electronics,450.56,False,0.0,450.56,2,901.12,77,False,Monday,3,1,False,False,,Winter
2024-10-12,S001,South,Supercenter,Electronics,613.07,False,0.0,613.07,2,1226.14,119,False,Saturday,41,10,True,False,,Fall
2025-04-11,S001,South,Supercenter,Electronics,323.49,False,0.0,323.49,1,323.49,39,False,Friday,15,4,False,False,,Spring
2025-04-06,S001,South,Supercenter,Electronics,701.14,False,0.0,701.14,5,3505.7,60,False,Sunday,14,4,True,False,,Spring
2025-02-12,S001,South,Supercenter,Electronics,149.64,False,0.0,149.64,1,149.64,78,False,Wednesday,7,2,False,False,,Winter
2025-03-09,S001,South,Supercenter,Electronics,285.69,False,0.0,285.69,6,1714.14,73,False,Sunday,10,3,True,False,,Spring
